,spy,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2017-12-04,265.510009765625,42.342498779296875,175.41000366210938,98.55000305175781,285.8999938964844,143.86000061035156,103.44000244140625,37.61000061035156,119.91999816894531,104.2300033569336,,250.35000610351562,183.41000366210938,147.2753143310547,148.0019073486328,43.349998474121094,140.58999633789062,105.93000030517578,45.310001373291016,173.14999389648438,238.1300048828125,53.024810791015625,84.16000366210938,61.29999923706055,90.37000274658203,133.75,223.91000366210938,112.5999984741211,51.09000015258789,71.55000305175781,96.55000305175781
2017-12-11,266.510009765625,43.49250030517578,177.0399932861328,98.5199966430664,293.94000244140625,146.69000244140625,105.4800033569336,38.189998626708984,119.7300033569336,111.2699966430664,,257.1700134277344,182.5800018310547,147.84080505371094,145.7935028076172,44.560001373291016,142.4600067138672,106.13999938964844,46.189998626708984,174.05999755859375,238.0,53.66412353515625,86.8499984741211,64.79000091552734,91.88999938964844,134.88999938964844,221.82000732421875,113.81999969482422,52.66999816894531,71.94000244140625,97.11000061035156
2017-12-18,267.510009765625,43.752498626708984,176.4199981689453,98.73999786376953,295.1000061035156,155.75,102.62999725341797,38.54999923706055,124.9800033569336,108.66999816894531,,258.9700012207031,188.1300048828125,147.1123809814453,145.7935028076172,46.70000076293945,140.1199951171875,107.44999694824219,45.59000015258789,171.4199981689453,234.72999572753906,53.77862548828125,85.51000213623047,63.290000915527344,92.12999725341797,134.38999938964844,220.0,112.69000244140625,53.189998626708984,72.70999908447266,98.20999908447266
2017-12-25,266.8599853515625,42.307498931884766,173.89999389648438,99.30999755859375,294.9100036621094,157.5800018310547,102.2300033569336,38.29999923706055,125.19000244140625,107.51000213623047,,254.75999450683594,189.52999877929688,146.98779296875,146.67303466796875,46.15999984741211,139.72000122070312,106.94000244140625,45.880001068115234,172.1199951171875,235.3699951171875,53.6927490234375,85.54000091552734,62.54999923706055,91.87999725341797,135.63999938964844,220.4600067138672,114.0199966430664,52.93000030517578,72.62000274658203,98.75
2018-01-01,273.4200134277344,43.75,180.64999389648438,101.08000183105469,308.8399963378906,161.9600067138672,108.0999984741211,39.529998779296875,127.9000015258789,111.62000274658203,,255.52000427246094,192.5,149.11553955078125,155.3441619873047,44.7400016784668,141.7100067138672,108.33999633789062,46.06999969482422,174.0500030517578,240.57000732421875,54.3797721862793,88.19000244140625,63.97999954223633,91.23999786376953,132.16000366210938,228.72999572753906,118.86000061035156,52.47999954223633,72.91999816894531,100.12999725341797
2018-01-08,277.9200134277344,44.272499084472656,185.0399932861328,100.97000122070312,336.2099914550781,170.3000030517578,110.23999786376953,40.869998931884766,133.60000610351562,112.47000122070312,,257.0299987792969,196.4199981689453,152.4605255126953,155.965576171875,43.2400016784668,145.75999450683594,112.66999816894531,46.150001525878906,173.57000732421875,244.47000122070312,55.97328186035156,89.5999984741211,64.66999816894531,89.61000061035156,134.72999572753906,228.63999938964844,120.08999633789062,51.86000061035156,76.06999969482422,100.87000274658203
2018-01-15,280.4100036621094,44.6150016784668,189.27999877929688,98.02999877929688,337.7300109863281,170.41000366210938,111.93000030517578,41.290000915527344,131.3000030517578,110.58999633789062,,256.1199951171875,201.3300018310547,152.0963134765625,155.2294464111328,44.81999969482422,147.36000061035156,113.01000213623047,47.15999984741211,176.1199951171875,248.17999267578125,58.47328186035156,90.0,67.20999908447266,91.06999969482422,137.85000610351562,243.35000610351562,122.69999694824219,51.90999984741211,76.47000122070312,104.58999633789062
2018-01-22,286.5799865722656,42.877498626708984,196.00999450683594,99.62999725341797,343.2200012207031,167.05999755859375,113.69999694824219,42.560001373291016,131.19000244140625,112.19000244140625,,268.1400146484375,207.22999572753906,158.13455200195312,159.9808807373047,50.08000183105469,145.3300018310547,116.31999969482422,48.529998779296875,178.36000061035156,258.6300048828125,59.1984748840332,94.05999755859375,68.04000091552734,87.7300033569336,149.4199981689453,248.47000122070312,126.31999969482422,54.720001220703125,79.1500015258789,108.38999938964844
2018-01-29,275.45001220703125,40.125,187.00999450683594,96.68000030517578,348.9100036621094,157.49000549316406,110.77999877929688,40.93000030517578,118.58000183105469,108.69999694824219,,260.0400085449219,193.97000122070312,150.14108276367188,152.0363311767578,46.150001525878906,137.67999267578125,114.27999877929688,46.72999954223633,169.3800048828125,245.1699981689453,55.877864837646484,91.77999877929688,67.22000122070312,84.25,147.9499969482422,231.8800048828125,120.91000366210938,52.97999954223633,73.55999755859375,104.4800033569336
2018-02-05,261.5,39.102500915527344,173.4600067138672,91.72000122070312,332.8299865722656,149.2100067138672,106.9800033569336,39.529998779296875,113.5,103.08999633789062,,249.3000030517578,184.1199951171875,141.75465393066406,142.93499755859375,43.95000076293945,129.52999877929688,110.04000091552734,43.130001068115234,160.8000030517578,225.2100067138672,52.356868743896484,88.18000030517578,65.48999786376953,79.91999816894531,137.0800018310547,220.9600067138672,116.31999969482422,49.880001068115234,68.45999908447266,99.37000274658203
